time,player,actor_id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,boost,throttle,steer
8.72911,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.72911,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.72911,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.795775,BALL,0,0.0,0.0,92.75,,,,,,
8.795775,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.795775,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.795775,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,255.0
8.795775,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.795775,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.795775,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.895774,BALL,0,0.0,0.0,92.75,,,,,,
8.895774,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.895774,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,168.0
8.895774,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,230.0
8.895774,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.895774,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.895774,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.929107,BALL,0,0.0,0.0,92.75,,,,,,
8.929107,tkxanny,8,2048.0,2560.0,17.01,0.0,0.0,0.27,85.0,255.0,
8.929107,Thunder,17,-256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,242.0
8.929107,Cha,32,256.0,3840.0,17.01,0.0,0.0,0.27,85.0,255.0,214.0
8.929107,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.929107,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.929107,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.96244,BALL,0,0.0,0.0,92.75,,,,,,
8.96244,tkxanny,8,2047.87,2559.87,17.01,-15.27,-15.27,0.19,85.0,255.0,
8.96244,Thunder,17,-256.0,3839.82,17.01,0.0,-21.59,0.19,85.0,255.0,226.0
8.96244,Cha,32,256.03,3839.83,17.01,3.38,-20.67,0.19,85.0,255.0,227.0
8.96244,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.96244,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.96244,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.995772,BALL,0,0.0,0.0,92.75,,,,,,
8.995772,tkxanny,8,2047.87,2559.87,17.01,-15.27,-15.27,0.19,85.0,255.0,
8.995772,Thunder,17,-256.0,3839.82,17.01,0.0,-21.59,0.19,85.0,255.0,128.0
8.995772,Cha,32,256.03,3839.83,17.01,3.38,-20.67,0.19,85.0,255.0,227.0
8.995772,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
8.995772,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
8.995772,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
9.029105,BALL,0,0.0,0.0,92.75,,,,,,
9.029105,tkxanny,8,2047.87,2559.87,17.01,-15.27,-15.27,0.19,85.0,255.0,
9.029105,Thunder,17,-256.0,3839.82,17.01,0.0,-21.59,0.19,85.0,255.0,128.0
9.029105,Cha,32,257.72,3830.86,17.01,39.27,-196.58,0.04,85.0,255.0,255.0
9.029105,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
9.029105,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
9.029105,neon_matrix46(1),59,-256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
9.062438,BALL,0,0.0,0.0,92.75,,,,,,
9.062438,tkxanny,8,2037.87,2545.63,17.01,-150.84,-230.75,0.05,85.0,255.0,255.0
9.062438,Thunder,17,-253.71,3822.46,17.01,50.57,-270.77,0.06,85.0,255.0,128.0
9.062438,Cha,32,257.72,3830.86,17.01,39.27,-196.58,0.04,85.0,255.0,255.0
9.062438,neon_matrix46,45,-2048.0,-2560.0,17.01,0.0,0.0,0.27,85.0,,
9.062438,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
9.062438,neon_matrix46(1),59,-256.0,-3838.21,17.01,0.0,85.27,0.07,85.0,255.0,
9.095771,BALL,0,0.0,0.0,92.75,,,,,,
9.095771,tkxanny,8,2037.87,2545.63,17.01,-150.84,-230.75,0.05,85.0,255.0,255.0
9.095771,Thunder,17,-253.71,3822.46,17.01,50.57,-270.77,0.06,85.0,255.0,128.0
9.095771,Cha,32,263.56,3806.23,17.01,99.95,-372.8,0.04,85.0,255.0,255.0
9.095771,neon_matrix46,45,-2040.51,-2554.45,17.01,155.7,127.89,0.03,85.0,255.0,
9.095771,neon_matrix46(2),57,256.0,-3840.0,17.01,0.0,0.0,0.27,85.0,,
9.095771,neon_matrix46(1),59,-256.0,-3838.21,17.01,0.0,85.27,0.07,85.0,255.0,
9.129104,BALL,0,0.0,0.0,92.75,,,,,,
9.129104,tkxanny,8,2026.04,2529.01,17.01,-242.97,-324.42,0.01,85.0,255.0,129.0
9.129104,Thunder,17,-250.91,3802.2,17.01,46.86,-403.29,0.01,85.0,255.0,61.0
9.129104,Cha,32,264.46,3802.99,17.01,108.07,-389.02,0.04,85.0,255.0,255.0
9.129104,neon_matrix46,45,-2039.1,-2553.26,17.01,168.92,142.85,0.03,85.0,255.0,
9.129104,neon_matrix46(2),57,253.91,-3829.07,17.01,-44.0,215.19,0.04,85.0,255.0,255.0
9.129104,neon_matrix46(1),59,-255.5,-3828.65,17.01,24.19,218.5,0.06,76.0,255.0,0.0
9.1624365,BALL,0,0.0,0.0,92.75,,,,,,
9.1624365,tkxanny,8,2026.04,2529.01,17.01,-242.97,-324.42,0.01,85.0,255.0,129.0
9.1624365,Thunder,17,-250.91,3802.2,17.01,46.86,-403.29,0.01,85.0,255.0,0.0
9.1624365,Cha,32,264.46,3802.99,17.01,108.07,-389.02,0.04,85.0,255.0,255.0
9.1624365,neon_matrix46,45,-2039.1,-2553.26,17.01,168.92,142.85,0.03,85.0,255.0,
9.1624365,neon_matrix46(2),57,253.91,-3829.07,17.01,-44.0,215.19,0.04,85.0,255.0,255.0
9.1624365,neon_matrix46(1),59,-255.5,-3828.65,17.01,24.19,218.5,0.06,76.0,255.0,0.0
9.195769,BALL,0,0.0,0.0,92.75,,,,,,
9.195769,tkxanny,8,2000.86,2495.54,17.01,-346.7,-464.53,0.01,85.0,255.0,128.0
9.195769,Thunder,17,-250.91,3802.2,17.01,46.86,-403.29,0.01,85.0,255.0,0.0
9.195769,Cha,32,278.06,3763.79,17.01,215.4,-531.04,0.04,85.0,255.0,255.0
9.195769,neon_matrix46,45,-2018.79,-2535.13,17.01,305.09,274.78,0.03,85.0,255.0,
9.195769,neon_matrix46(2),57,253.91,-3829.07,17.01,-44.0,215.19,0.04,85.0,255.0,255.0
9.195769,neon_matrix46(1),59,-252.08,-3805.2,17.01,38.1,329.01,0.25,76.0,255.0,128.0
9.229102,BALL,0,0.0,0.0,92.75,,,,,,
9.229102,tkxanny,8,2000.86,2495.54,17.01,-346.7,-464.53,0.01,85.0,255.0,128.0
9.229102,Thunder,17,-245.57,3755.63,17.01,65.62,-592.96,0.02,61.0,255.0,0.0
9.229102,Cha,32,278.06,3763.79,17.01,215.4,-531.04,0.04,85.0,255.0,255.0
9.229102,neon_matrix46,45,-2018.79,-2535.13,17.01,305.09,274.78,0.03,85.0,255.0,
9.229102,neon_matrix46(2),57,248.06,-3799.26,17.01,-68.0,417.56,0.01,85.0,255.0,128.0
9.229102,neon_matrix46(1),59,-252.08,-3805.2,17.01,38.1,329.01,0.25,76.0,255.0,128.0
9.262435,BALL,0,0.0,0.0,92.75,,,,,,
9.262435,tkxanny,8,2000.86,2495.54,17.01,-346.7,-464.53,0.01,85.0,255.0,128.0
9.262435,Thunder,17,-245.57,3755.63,17.01,65.62,-592.96,0.02,61.0,255.0,124.0
9.262435,Cha,32,299.78,3720.14,17.01,354.29,-615.81,0.05,85.0,255.0,249.0
9.262435,neon_matrix46,45,-1990.85,-2510.0,32.29,425.13,381.5,315.38,85.0,255.0,
9.262435,neon_matrix46(2),57,248.06,-3799.26,17.01,-68.0,417.56,0.01,85.0,255.0,128.0
9.262435,neon_matrix46(1),59,-249.07,-3776.67,17.01,44.42,420.05,0.25,76.0,255.0,128.0
9.295768,BALL,0,0.0,0.0,92.75,,,,,,
9.295768,tkxanny,8,1967.74,2450.71,17.01,-437.84,-596.06,0.01,85.0,255.0,128.0
9.295768,Thunder,17,-243.44,3705.53,27.06,0.39,-728.57,307.57,61.0,255.0,221.0
9.295768,Cha,32,302.88,3714.95,17.01,371.83,-622.22,0.05,85.0,255.0,226.0
9.295768,neon_matrix46,45,-1987.26,-2506.77,34.95,431.37,387.08,319.33,85.0,255.0,
9.295768,neon_matrix46(2),57,241.9,-3761.44,17.01,-95.56,571.35,0.01,85.0,255.0,128.0
9.295768,neon_matrix46(1),59,-249.07,-3776.67,17.01,44.42,420.05,0.25,76.0,255.0,128.0
9.329101,BALL,0,0.0,0.0,92.75,,,,,,
9.329101,tkxanny,8,1967.74,2450.71,17.01,-437.84,-596.06,0.01,85.0,255.0,128.0
9.329101,Thunder,17,-243.44,3705.53,27.06,0.39,-728.57,307.57,61.0,255.0,227.0
9.329101,Cha,32,302.88,3714.95,17.01,371.83,-622.22,0.05,85.0,255.0,226.0
9.329101,neon_matrix46,45,-1987.26,-2506.77,34.95,431.37,387.08,319.33,85.0,255.0,
9.329101,neon_matrix46(2),57,241.9,-3761.44,17.01,-95.56,571.35,0.01,85.0,255.0,128.0
9.329101,neon_matrix46(1),59,-249.07,-3776.67,17.01,44.42,420.05,0.25,76.0,255.0,128.0
9.362433,BALL,0,0.0,0.0,92.75,,,,,,
9.362433,tkxanny,8,1967.74,2450.71,17.01,-437.84,-596.06,0.01,85.0,255.0,128.0
9.362433,Thunder,17,-243.44,3705.53,27.06,0.39,-728.57,307.57,61.0,255.0,251.0
9.362433,Cha,32,331.59,3670.61,17.01,472.94,-698.31,0.0,85.0,255.0,128.0
9.362433,neon_matrix46,45,-1987.26,-2506.77,34.95,431.37,387.08,319.33,85.0,255.0,
9.362433,neon_matrix46(2),57,241.9,-3761.44,17.01,-95.56,571.35,0.01,85.0,255.0,128.0
9.362433,neon_matrix46(1),59,-249.07,-3776.67,17.01,44.42,420.05,0.25,76.0,255.0,128.0
9.395766,BALL,0,0.0,0.0,92.75,,,,,,
9.395766,tkxanny,8,1920.84,2382.02,24.5,-472.02,-773.61,303.58,80.0,255.0,255.0
9.395766,Thunder,17,-244.82,3628.98,60.42,-14.86,-771.34,331.37,61.0,255.0,255.0
9.395766,Cha,32,331.59,3670.61,17.01,472.94,-698.31,0.0,85.0,255.0,128.0
9.395766,neon_matrix46,45,-1940.1,-2454.79,64.52,494.35,1025.24,265.38,85.0,255.0,
9.395766,neon_matrix46(2),57,230.17,-3694.04,17.01,-134.4,757.82,0.01,85.0,255.0,128.0
9.395766,neon_matrix46(1),59,-243.16,-3724.16,17.01,71.7,534.34,0.28,76.0,255.0,0.0
9.429099,BALL,0,0.0,0.0,92.75,,,,,,
9.429099,tkxanny,8,1920.84,2382.02,24.5,-472.02,-773.61,303.58,80.0,255.0,255.0
9.429099,Thunder,17,-244.82,3628.98,60.42,-14.86,-771.34,331.37,52.0,255.0,192.0
9.429099,Cha,32,384.58,3605.23,17.01,669.8,-714.01,0.04,85.0,255.0,255.0
9.429099,neon_matrix46,45,-1909.66,-2393.72,78.5,542.44,1062.57,218.49,82.0,255.0,
9.429099,neon_matrix46(2),57,221.68,-3646.45,17.01,-153.75,858.28,0.01,85.0,255.0,128.0
9.429099,neon_matrix46(1),59,-236.73,-3691.83,17.01,137.07,570.26,0.31,76.0,255.0,0.0
9.462436,BALL,0,0.0,0.0,92.75,,,,,,
9.462436,tkxanny,8,1884.91,2319.54,46.96,-493.26,-866.72,279.59,80.0,255.0,123.0
9.462436,Thunder,17,-222.34,3534.21,82.94,290.56,-1296.93,271.29,52.0,255.0,128.0
9.462436,Cha,32,384.58,3605.23,17.01,669.8,-714.01,0.04,85.0,255.0,255.0
9.462436,neon_matrix46,45,-1909.66,-2393.72,78.5,542.44,1062.57,218.49,82.0,255.0,
9.462436,neon_matrix46(2),57,221.68,-3646.45,17.01,-153.75,858.28,0.01,85.0,255.0,128.0
9.462436,neon_matrix46(1),59,-236.73,-3691.83,17.01,137.07,570.26,0.31,76.0,255.0,0.0
